"astro-ph/0701317","Eric Linder","Eric V. Linder and Robert N. Cahn","Parameterized Beyond-Einstein Growth","8 pages; v2 minor clarifications, matches published version","Astropart.Phys.28:481-488,2007","10.1016/j.astropartphys.2007.09.003",,"astro-ph gr-qc",,"  A single parameter, the gravitational growth index \gamma, succeeds in
characterizing the growth of density perturbations in the linear regime
separately from the effects of the cosmic expansion. The parameter is
restricted to a very narrow range for models of dark energy obeying the laws of
general relativity but takes on distinctly different values in models of
beyond-Einstein gravity. In analogy to the parameterized post-Newtonian (PPN)
formalism for testing gravity, we extend and motivate the gravitational growth
index, or Minimal Modified Gravity, approach to parameterizing beyond-Einstein
cosmology. Using a simple analytic formalism, we show how the growth index
parameter applies to early dark energy, time-varying gravity, DGP braneworld
gravity, and scalar-tensor gravity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 17:51:41 GMT""}]","2010-11-05"
"astro-ph/0701373","Guenther Ruediger","G. Ruediger, L.L. Kitchatinov","Structure and stability of the magnetic solar tachocline","17 pages, 12 figures, submitted to New J. Phys","NewJ.Phys.9:302,2007","10.1088/1367-2630/9/8/302",,"astro-ph",,"  Rather weak fossil magnetic fields in the radiative core can produce the
solar tachocline if the field is poloidal and almost horizontal in the
tachocline region, i.e. if the field is confined within the core. This
particular field geometry is shown to result from a shallow (<~1Mm) penetration
of the meridional flow existing in the convection zone into the radiative core.
I.e., two conditions are crucial for a magnetic tachocline theory: (i) the
presence of meridional flow of a few meters per second at the base of the
convection zone, and (ii) a magnetic diffusivity inside the tachocline smaller
than 10^8 cm^2s^-1. Numerical solutions for both confined poloidal fields and
the resulting tachocline structures are presented. We find that the tachocline
thickness runs as <I>B</I>_p^-1/2 with the poloidal field amplitude falling
below 5% of the solar radius for <I>B</I>^p > 5 mG. The resulting toroidal
field amplitude inside the tachocline of about 100 G does not depend on the
<I>B</I>^p. The hydromagnetic stability of the tachocline is only briefly
discussed. For the hydrodynamic stability of latitudinal differential rotation
we found that the critical 29% of the 2D theory of Watson (1981) are reduced to
only 21% in 3D for marginal modes of about 6 Mm radial scale.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 11:37:05 GMT""}]","2008-11-26"
"astro-ph/0701374","Miguel \'Angel Aloy Tor\'as","M.A. Aloy (1) and P. Mimica (1) ((1) Departamento de Astronomia y
  Astrofisica, Universidad de Valencia)","Making up a short GRB: The bright fate of mergers of compact objects","3 pages, 0 figures. Proceedings of the 11th Marcel Grossman Meeting
  on General Relativity (Berlin, 2005)",,"10.1142/9789812834300_0203",,"astro-ph",,"  We show some of the most important reasons why the likely fate of the merger
of a neutron star with another compact object may be to yield a short gamma-ray
burst (sGRB). Emphasis is made on some robust results that general relativistic
(magneto)hydrodynamic simulations have established regarding the aforementioned
subject.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:13:53 GMT""}]","2016-11-15"
"astro-ph/0701375","V. Folomeev","V. Folomeev, V. Gurovich, I. Tokareva","Geometric Model of Quintessence","7 pages, 2 figures, Talk given at International Conference on
  Gravitation, Cosmology and Astrophysics dedicated to 90th anniversary of K.P.
  Staniukovich, March 2-6, 2006, Moscow, Russia","Grav.Cosmol. 12 (2006) 163-169",,,"astro-ph",,"  On basis of modification of Einstein's gravitational equations by adding the
term $f(R)\propto \beta R^n$, a geometric model of quintessence is proposed.
The evolution equation for the scale factor $a$ of the Universe is analyzed for
the two parameters $n=2$ and $n=4/3$, which were preferred by previous studies
of the early Universe. Another choice of parameters $n$ and $\beta$ is proposed
from the following reasons: the exponent $n$ close to 1.2953 follows from the
request for the evolution of the Universe after recombination to be close to
the evolution of the flat FRW model with cold dark matter and reasonable age of
the Universe defines the value of the coefficient $\beta$. Such a model
corresponding to the evolution of the Universe with the dynamical
$\Lambda$-term describes well enough the observational data.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:16:44 GMT""}]","2007-05-23"
"astro-ph/0701376","Matt Jarvis","Matt J. Jarvis","Science with the next generation of radio surveys from LOFAR to the SKA","6 pages, 5 figures. To appear in the proceedings of 'At the Edge of
  the Universe' (9-13 October 2006, Sintra, Portugal)",,,,"astro-ph",,"  Over the next few years the new radio telescopes, such as the Low Frequency
Array (LOFAR) will greatly enhance our knowledge of the active history of the
Universe. Large-area surveys with these new telescopes will no longer be
dominated by the powerful active galactic nuclei, but by radio-quiet quasars
and star-forming galaxies over all cosmic epochs. Further in the future (~2014)
the Square Kilometre Array (SKA) will take studies in the radio regime to a
whole new level, with the ability to detect neutral hydrogen via the 21cm
transition over the majority of cosmic time. This will enable both the detailed
study of individual galaxies and the use of these galaxies as probes Dark
Energy. In these proceedings I give an overview of the science goals behind
these new radio telescopes, with particular emphasis on galaxy evolution and
cosmology. Finally I briefly discuss the SKA science simulation effort.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:29:58 GMT""}]","2007-05-23"
"astro-ph/0701377","Peter Berczik Dr.","S.B. Vinogradov (1), P. Berczik (1,2), ((1) MAO NASU Kiev, Ukraine,
  (2) ARI ZAH, Heidelberg, Germany)","The study of colliding molecular clumps evolution","23 pages, 2 tables, 7 figues","Astron.Astrophys.Trans. 25 (2006) 299-316","10.1080/10556790601028999",,"astro-ph",,"  The results of study of the gravitational fragmentation in the interstellar
medium (ISM) by clump-clump collisions are presented. We suggest, that
collision of clumps, that are subparts of Giant Molecular Clouds (GMC) may be
on of the basic mechanism, which result to ISM fragmentation and define the
dynamical as well as statistical characteristics (e.g. the mass spectra) of
protostellar condensation. In the present paper, we describe our 3D
SPH-modeling, in isothermal approximation, of supersonic collisions of two
identical clumps with a few variants of initial impact parameters ($\beta$),
that cover the wide range. Our results shown, that at all $\beta$ in system
began intensive fragmentation. The resulting fragments mass function depend
from initial impact parameter. The obtained mass spectra have the slopes in a
good enough agreement with observational data for our Galaxy -- especially for
large impact parameters, which are more realistic as for large clumps
ensembles.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:35:11 GMT""}]","2012-07-04"
"astro-ph/0701378","Gilles Bergond","G. Bergond, E. Athanassoula, S. Leon, C. Balkowski, V. Cayatte, L.
  Chemin, R. Guzman, G. Meylan, Ph. Prugniel","Globular clusters and dwarf galaxies in Fornax - I. Kinematics in the
  cluster core from multi-object spectroscopy","To be published in A&A Letters. 4 pages, 3 figures, 3 tables",,"10.1051/0004-6361:20066963",,"astro-ph",,"  We acquired radial velocities of a significant number of globular clusters
(GCs) on wide fields between galaxies in the nearby Fornax cluster of galaxies,
in order to derive their velocity dispersion radial profile and to probe the
dynamics of the cluster. We used FLAMES on the VLT to obtain accurate
velocities for 149 GCs, within a ~500x150 kpc strip centered on NGC 1399, the
Fornax central galaxy. These objects are at the very bright tail (M_V < -9.5)
of the GC luminosity function, overlapping the so-called ``ultra-compact
dwarfs'' magnitude range. Eight of the brightest FLAMES-confirmed members
indeed show hints of resolution in the subarcsecond pre-imaging data we used
for selecting the ~500 targets for FLAMES spectroscopy. Ignoring the GCs around
galaxies by applying 3d_25 diameter masks, we find 61 GCs of 20.0 < V < 22.2
lying in the intra-cluster (IC) medium. The velocity dispersion of the
population of ICGCs is 200 km/s at ~150 kpc from the central NGC 1399 and rises
to nearly 400 km/s at 200 kpc, a value which compares with the velocity
dispersion of the population of dwarf galaxies, thought to be infalling from
the surroundings of the cluster.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:58:03 GMT""}]","2020-05-06"
"astro-ph/0701379","Robert Rutten","Robert J. Rutten","On the Nature of the Solar Chromosphere","Proceedings 23th NSO Workshop, ASP Conference Series, 354, 282, in
  press","ASPConf.Ser.354:276,2007",,,"astro-ph",,"  DOT high-resolution imagery suggests that only internetwork-spanning H-alpha
""mottles"" constitute the quiet-sun chromosphere, whereas more upright network
""straws"" in ""hedge rows"" reflect transition-region conditions.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 13:09:06 GMT""}]","2008-11-26"
"astro-ph/0701380","Jan Hamann","Jan Hamann, Laura Covi, Alessandro Melchiorri and Anze Slosar","New Constraints on Oscillations in the Primordial Spectrum of
  Inflationary Perturbations","12 pages, 8 figures","Phys.Rev.D76:023503,2007","10.1103/PhysRevD.76.023503","DESY 07-004","astro-ph hep-ph",,"  We revisit the problem of constraining steps in the inflationary potential
with cosmological data. We argue that a step in the inflationary potential
produces qualitatively similar oscillations in the primordial power spectrum,
independently of the details of the inflationary model. We propose a
phenomenological description of these oscillations and constrain these features
using a selection of cosmological data including the baryonic peak data from
the correlation function of luminous red galaxies in the Sloan Digital Sky
Survey. Our results show that degeneracies of the oscillation with standard
cosmological parameters are virtually non-existent. The inclusion of new data
severely tightens the constraints on the parameter space of oscillation
parameters with respect to older work. This confirms that extensions to the
simplest inflationary models can be successfully constrained using cosmological
data.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 13:13:34 GMT""}]","2008-11-26"
"astro-ph/0701381","Nozomu Tominaga","Nozomu Tominaga, Hideyuki Umeda, and Ken'ichi Nomoto","Supernova Nucleosynthesis in Population III 13 -- 50 $M_{\odot}$ Stars
  and Abundance Patterns of Extremely Metal-Poor Stars","45 pages, 14 figures. Accepted for publication in the Astrophysical
  Journal (10 May 2007, v660n2 issue). Moved from Supplements to Part 1","Astrophys.J.660:516-540,2007","10.1086/513063",,"astro-ph",,"  We perform hydrodynamical and nucleosynthesis calculations of core-collapse
supernovae (SNe) and hypernovae (HNe) of Population (Pop) III stars. We provide
new yields for the main-sequence mass of $M_{\rm MS}=13-50$ $M_{\odot}$ and the
explosion energy of $E=1-40\times10^{51}$ ergs to apply for chemical evolution
studies. Our HN yields based on the mixing-fallback model of explosions
reproduce the observed abundance patterns of extremely metal-poor (EMP) stars
($-4< {\rm [Fe/H]}< -3$), while those of very metal-poor (VMP) stars ($-3<{\rm
[Fe/H]} < -2$) are reproduced by the normal SN yields integrated over the
Salpeter initial mass function. Moreover, the observed trends of abundance
ratios [X/Fe] against [Fe/H] with small dispersions for the EMP stars can be
reproduced as a sequence resulting from the various combination of $M_{\rm MS}$
and $E$. This is because we adopt the empirical relation that a larger amount
of Fe is ejected by more massive HNe. Our results imply that the observed
trends with small dispersions do not necessarily mean the rapid homogeneous
mixing in the early galactic halo at [Fe/H] $< -3$, but can be reproduced by
the ``inhomogeneous'' chemical evolution model. In addition, we examine how the
modifications of the distributions of the electron mole fraction $Y_{\rm e}$
and the density in the presupernova models improve the agreement with
observations. In this connection, we discuss possible contributions of
nucleosynthesis in the neutrino-driven wind and the accretion disk.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:56:29 GMT""},{""version"":""v2"",""created"":""Thu, 25 Jan 2007 09:46:35 GMT""}]","2011-02-11"
"astro-ph/0701382","Nancy Kiang","Nancy Y. Kiang, Janet Siefert, Govindjee, Robert E. Blankenship","Spectral signatures of photosynthesis I: Review of Earth organisms","69 pages, 7 figures, forthcoming in Astrobiology March 2007",,"10.1089/ast.2006.0105",,"astro-ph",,"  Why do plants reflect in the green and have a 'red edge' in the red, and
should extrasolar photosynthesis be the same? We provide: 1) a brief review of
how photosynthesis works; 2) an overview of the diversity of photosynthetic
organisms, their light harvesting systems, and environmental ranges; 3) a
synthesis of photosynthetic surface spectral signatures; 4) evolutionary
rationales for photosynthetic surface reflectance spectra with regard to
utilization of photon energy and the planetary light environment. Given the
surface incident photon flux density spectrum and resonance transfer in light
harvesting, we propose some rules with regard to where photosynthetic pigments
will peak in absorbance: a) the wavelength of peak incident photon flux; b) the
longest available wavelength for core antenna or reaction center pigments; and
c) the shortest wavelengths within an atmospheric window for accessory
pigments. That plants absorb less green light may not be an inefficient legacy
of evolutionary history, but may actually satisfy the above criteria.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 13:41:31 GMT""}]","2009-11-13"
"astro-ph/0701383","Juan Estrada","J. Estrada, J. Annis, H.T. Diehl, P. B. Hall, T. Las, H. Lin, M.
  Makler, K. W. Merritt, V. Scarpine, S. Allam and D. Tucker","A Systematic Search for High Surface Brightness Giant Arcs in a Sloan
  Digital Sky Survey Cluster Sample","34 pages,8 Fig. Accepted ApJ:Jan-2007","Astrophys.J.660:1176-1185,2007","10.1086/512599",,"astro-ph",,"  We present the results of a search for gravitationally-lensed giant arcs
conducted on a sample of 825 SDSS galaxy clusters. Both a visual inspection of
the images and an automated search were performed and no arcs were found. This
result is used to set an upper limit on the arc probability per cluster. We
present selection functions for our survey, in the form of arc detection
efficiency curves plotted as functions of arc parameters, both for the visual
inspection and the automated search. The selection function is such that we are
sensitive only to long, high surface brightness arcs with g-band surface
brightness mu_g < 24.8 and length-to-width ratio l/w > 10. Our upper limits on
the arc probability are compatible with previous arc searches. Lastly, we
report on a serendipitous discovery of a giant arc in the SDSS data, known
inside the SDSS Collaboration as Hall's arc.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:12:27 GMT""}]","2008-11-26"
"astro-ph/0701384","Neal Jackson","N. Jackson and R. Beswick (University of Manchester, Jodrell Bank
  Observatory)","Near-infrared spectra of Seyfert galaxies and line production mechanisms","8 pages, 9 figures. Accepted by MNRAS","Mon.Not.Roy.Astron.Soc.376:719-726,2007","10.1111/j.1365-2966.2007.11467.x",,"astro-ph",,"  New observations are reported of J-band spectra (1.04micron -- 1.4 micron) of
three Seyfert 2 galaxies, Mkn 34, Mkn 78 and NGC 5929. In each case the
spectral range includes the near-infrared lines of [FeII], [PII], HeI and Pa
beta. Each Seyfert galaxy has a known radio jet, and we investigate the
infrared line ratios of the nuclear and extended regions of each galaxy
compared to the radio structure. In Mkn 34 there is a clear indication of an
extranuclear region, probably coincident with a shock induced by the radio jet,
in which [FeII] is considerably enhanced, although the nuclear emission is
almost certainly the result of photoionization by the continuum of the active
nucleus. Similar effects in extranuclear regions are seen in the other objects,
in the case of Mkn 78 confirming recent studies by Ramos Almeida et al. A
possible detection of extranuclear [PII] emission suggests, if real, that
photoionization by the active nucleus is the dominant line excitation mechanism
over the whole source, including the regions coincident with the radio jet.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:32:03 GMT""}]","2008-11-26"
"astro-ph/0701385","Sherri Honza","Lorin S. Matthews, Ryan L. Hayes, Michael S. Freed, and Truell W. Hyde","Formation of Cosmic Dust Bunnies",,,"10.1109/TPS.2007.892718","CASPER-07-02","astro-ph",,"  Planetary formation is an efficient process now thought to take place on a
relatively short astronomical time scale. Recent observations have shown that
the dust surrounding a protostar emits more efficiently at longer wavelengths
as the protoplanetary disk evolves, suggesting that the dust particles are
coagulating into fluffy aggregates, ""much as dust bunnies form under a bed.""
One poorly understood problem in this coagulation process is the manner in
which micron-sized, charged grains form the fractal aggregate structures now
thought to be the precursors of protoplanetary disk evolution. This study
examines the characteristics of such fractal aggregates formed by the collision
of spherical monomers and aggregates where the charge is distributed over the
aggregate structure. The aggregates are free to rotate due to collisions and
dipole-dipole electrostatic interactions. Comparisons are made for different
precursor size distributions and like-charged, oppositelycharged, and neutral
grains.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:23:43 GMT""}]","2009-11-13"
"astro-ph/0701386","Myriam Gitti","Myriam Gitti (1,2), Brian R. McNamara (1,3,4), Paul E. J. Nulsen (4),
  Michael W. Wise (5) ((1) Ohio University, (2) INAF-OABO, (3) University of
  Waterloo, (4) CfA, (5) University of Amsterdam)","Cosmological Effects of Powerful AGN Outbursts in Galaxy Clusters:
  Insights from an XMM-Newton Observation of MS0735+7421","69 pages, 30 figures, accepted for publication in ApJ Main Journal","Astrophys.J.660:1118-1136,2007","10.1086/512800",,"astro-ph",,"  We report on the results of an analysis of XMM-Newton observations of
MS0735+7421, the galaxy cluster which hosts the most energetic AGN outburst
currently known. The previous Chandra image shows twin giant X-ray cavities
(~200 kpc diameter) filled with radio emission and surrounded by a weak shock
front. XMM data are consistent with these findings. The total energy in
cavities and shock (~6 \times 10^{61} erg) is enough to quench the cooling flow
and, since most of the energy is deposited outside the cooling region (~100
kpc), to heat the gas within 1 Mpc by ~1/4 keV per particle. The cluster
exhibits an upward departure (factor ~2) from the mean L-T relation. The boost
in emissivity produced by the ICM compression in the bright shells due to the
cavity expansion may contribute to explain the high luminosity and high central
gas mass fraction that we measure. The scaled temperature and metallicity
profiles are in general agreement with those observed in relaxed clusters.
Also, the quantities we measure are consistent with the observed M-T relation.
We conclude that violent outbursts such as the one in MS0735+7421 do not cause
dramatic instantaneous departures from cluster scaling relations (other than
the L-T relation). However, if they are relatively common they may play a role
in creating the global cluster properties.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:24:19 GMT""}]","2011-02-11"
"astro-ph/0701387","Gregg Wade","G.A. Wade, S. Bagnulo, D. Drouin, J.D. Landstreet, D. Monin","A search for strong, ordered magnetic fields in Herbig Ae/Be stars","Accepted by Monthly Notices of the Royal Astronomical Society, 2007
  January 11. Received 2007 January 11; in original form 2006 August 18. The
  paper contains 18 pages, 11 figures and 2 tables","Mon.Not.Roy.Astron.Soc.376:1145-1161,2007","10.1111/j.1365-2966.2007.11495.x",,"astro-ph",,"  The origin of magnetic fields in intermediate-mass and high-mass stars is
fundamentally a mystery. Clues toward solving this basic astrophysical problem
can likely be found at the pre-main sequence (PMS) evolutionary stage. With
this work, we perform the largest and most sensitive search for magnetic fields
in pre-main sequence Herbig Ae/Be (HAeBe) stars. Sixty-eight observations of 50
HAeBe stars have been obtained in circularly polarised light using the FORS1
spectropolarimeter at the ESO VLT. An analysis of both Balmer and metallic
lines reveals the possible presence of weak longitudinal magnetic fields in
photospheric lines of two HAeBe stars, HD 101412 and BF Ori. The intensity of
the longitudinal fields detected in HD 101412 and BF Ori suggest that they
correspond to globally-ordered magnetic fields with surface intensities of
order 1 kG. Monte Carlo simulations of the longitudinal field measurements of
the undetected stars allow us to place an upper limits of about 300 G on the
general presence of aligned magnetic dipole magnetic fields, and of about 500 G
on perpendicular dipole fields. We find that the observed bulk incidence of
magnetic HAeBe stars in our sample is 8-12%, in good agreement with that of
magnetic main sequence stars of similar masses. We also find that the rms
longitudinal field intensity of magnetically-detected HAeBe stars is similar to
that of Ap stars and consistent with magnetic flux conservation during stellar
evolution. These results are all in agreement with the hypothesis that the
magnetic fields of main sequence Ap/Bp stars are fossils, which already exist
within the stars at the pre-main sequence stage. Finally, we explore the
ability of our new magnetic data to constrain magnetospheric accretion in
Herbig Ae/Be stars.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:52:37 GMT""}]","2008-11-26"
"cond-mat/0701249","Maria J. Ruiz-Montero","J. Javier Brey and M.J. Ruiz-Montero","Average energy and fluctuations of a granular gas in the threshold of
  the clustering instability",,,,,"cond-mat.stat-mech",,"  The behavior of an isolated dilute granular gas near the threshold of its
clustering instability is investigated by means of fluctuating hydrodynamics
and the direct simulation Monte Carlo method. The theoretical predictions from
the former are shown to be in good agreement with the simulation results. The
total energy of the the system is renormalized by the fluctuations of the
vorticity field. Moreover, the scaled second moment of the energy fluctuations
exhibits a power-law divergent behavior
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 16:14:36 GMT""}]","2007-05-23"
"cond-mat/0701250","Maria J. Ruiz-Montero","J. Javier Brey, R. Garcia-Rojo, F. Moreno, M.J. Ruiz-Montero","Symmetry breaking and clustering in a vibrated granular gas with several
  macroscopically connected compartments",,,"10.1140/epjst/e2007-00190-y",,"cond-mat.stat-mech",,"  The spontaneous symmetry breaking in a vibro-fluidized low-density granular
gas in three connected compartments is investigated. When the total number of
particles in the system becomes large enough, particles distribute themselves
unequally among the three compartments. Particles tend to concentrate in one of
the compartments, the other two having the (relatively small) same average
number of particles. A hydrodynamical model that accurately predicts the
bifurcation diagram of the system is presented. The theory can be easily
extended to the case of an arbitrary number of connected compartments.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 16:32:01 GMT""}]","2009-11-13"
"cond-mat/0701251","Thomas Schaefer","Thomas Schaefer (North Carolina State University)","The Shear Viscosity to Entropy Density Ratio of Trapped Fermions in the
  Unitarity Limit","published version","Phys.Rev.A76:063618,2007","10.1103/PhysRevA.76.063618",,"cond-mat.other hep-ph nucl-th",,"  We extract the shear viscosity to entropy density ratio \eta/s of cold
fermionic atoms in the unitarity limit from experimental data on the damping of
collective excitations. We find that near the critical temperature \eta/s is
roughly equal to 1/2 in units of \hbar/k_B. With the possible exception of the
quark gluon plasma, this value is closer to the conjectured lower bound
1/(4\pi) than any other known liquid.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:37:48 GMT""},{""version"":""v2"",""created"":""Wed, 24 Jan 2007 15:35:57 GMT""},{""version"":""v3"",""created"":""Wed, 28 Mar 2007 12:44:49 GMT""},{""version"":""v4"",""created"":""Fri, 25 Jan 2008 21:19:39 GMT""}]","2008-11-26"
"cond-mat/0701252","Animangsu Ghatak","Animangsu Ghatak and Manoj K. Chaudhury","Critical confinement and elastic instability in thin solid films","28 pages, 5 figures",,,,"cond-mat.soft cond-mat.mtrl-sci",,"  When a flexible plate is peeled off a thin and soft elastic film bonded to a
rigid support, uniformly spaced fingering patterns develop along their line of
contact. While, the wavelength of these patterns depends only on the thickness
of the film, their amplitude varies with all material and geometric properties
of the film and that of the adhering plate. Here we have analyzed this
instability by the regular perturbation technique to obtain the excess
deformations of the film over and above the base quantities. Furthermore, by
calculating the excess energy of the system we have shown that these excess
deformations, associated with the instability, occur for films which are
critically confined. We have presented two different experiments for
controlling the degree of confinement: by pre-stretching the film and by
adjusting the contact width between the film and the plate.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 16:51:05 GMT""},{""version"":""v2"",""created"":""Mon, 30 Apr 2007 03:41:39 GMT""}]","2007-05-23"
"cond-mat/0701253","James Servantie","S. Viscardy, J. Servantie, and P. Gaspard","Transport and Helfand moments in the Lennard-Jones fluid. I. Shear
  viscosity","Submitted to the Journal of Chemical Physics","J. Chem. Phys. 126, 184512 (2007)","10.1063/1.2724820",,"cond-mat.stat-mech cond-mat.mes-hall",,"  We propose a new method, the Helfand-moment method, to compute the shear
viscosity by equilibrium molecular dynamics in periodic systems. In this
method, the shear viscosity is written as an Einstein-like relation in terms of
the variance of the so-called Helfand moment. This quantity, is modified in
order to satisfy systems with periodic boundary conditions usually considered
in molecular dynamics. We calculate the shear viscosity in the Lennard-Jones
fluid near the triple point thanks to this new technique. We show that the
results of the Helfand-moment method are in excellent agreement with the
results of the standard Green-Kubo method.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:52:10 GMT""}]","2007-05-23"
"cond-mat/0701254","James Servantie","S. Viscardy, J. Servantie, and P. Gaspard","Transport and Helfand moments in the Lennard-Jones fluid. II. Thermal
  Conductivity","Submitted to the Journal of Chemical Physics","J. Chem. Phys. 126, 184513 (2007)","10.1063/1.2724821",,"cond-mat.stat-mech cond-mat.mes-hall",,"  The thermal conductivity is calculated with the Helfand-moment method in the
Lennard-Jones fluid near the triple point. The Helfand moment of thermal
conductivity is here derived for molecular dynamics with periodic boundary
conditions. Thermal conductivity is given by a generalized Einstein relation
with this Helfand moment. We compute thermal conductivity by this new method
and compare it with our own values obtained by the standard Green-Kubo method.
The agreement is excellent.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:54:30 GMT""}]","2007-05-23"
"cond-mat/0701255","Frantisek Sanda","F. Sanda, S. Mukamel","Probing anomalous relaxation by coherent multidimensional optical
  spectroscopy",,"Phys. Rev. Lett. 98, 080603 (2007)","10.1103/PhysRevLett.98.080603",,"cond-mat.soft cond-mat.stat-mech",,"  We propose to study the origin of algebraic decay of two-point correlation
functions observed in glasses, proteins, and quantum dots by their nonlinear
response to sequences of ultrafast laser pulses. Power-law spectral
singularities and temporal relaxation in two-dimensional correlation
spectroscopy (2DCS) signals are predicted for a continuous time random walk
model of stochastic spectral jumps in a two level system with a power-law
distribution of waiting times $\psi (t)\sim t^{-\alpha -1}$. Spectroscopic
signatures of stationary ensembles for $1<\alpha <2$ and aging effects in
nonstationary ensembles with $0<\alpha <1$ are identified.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:15:55 GMT""}]","2007-05-23"
"cond-mat/0701256","Andrei A. Fedorenko","Andrei A. Fedorenko, Florian K\""uhnel","Long-range correlated random field and random anisotropy O(N) models: A
  functional renormalization group study","8 pages, 3 figures, revtex4","Phys. Rev. B 75, 174206 (2007)","10.1103/PhysRevB.75.174206",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We study the long-distance behavior of the O(N) model in the presence of
random fields and random anisotropies correlated as ~1/x^{d-sigma} for large
separation x using the functional renormalization group. We compute the fixed
points and analyze their regions of stability within a double epsilon=d-4 and
sigma expansion. We find that the long-range disorder correlator remains
analytic but generates short-range disorder whose correlator develops the usual
cusp. This allows us to obtain the phase diagrams in (d,sigma,N) parameter
space and compute the critical exponents to first order in epsilon and sigma.
We show that the standard renormalization group methods with a finite number of
couplings used in previous studies of systems with long-range correlated random
fields fail to capture all critical properties. We argue that our results may
be relevant to the behavior of He-3A in aerogel.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:55:27 GMT""},{""version"":""v2"",""created"":""Sun, 21 Jan 2007 11:07:30 GMT""},{""version"":""v3"",""created"":""Mon, 24 Mar 2008 20:19:05 GMT""}]","2009-11-13"
"cond-mat/0701257","Yafis Barlas","Yafis Barlas, T. Pereg-Barnea, Marco Polini, Reza Asgari and A.H.
  MacDonald","Chirality and Correlations in Graphene","5 pages, 4 figures","Phys.Rev.Lett,98,236601(2007)","10.1103/PhysRevLett.98.236601",,"cond-mat.str-el",,"  Graphene is described at low-energy by a massless Dirac equation whose
eigenstates have definite chirality. We show that the tendency of Coulomb
interactions in lightly doped graphene to favor states with larger net
chirality leads to suppressed spin and charge susceptibilities. Our conclusions
are based on an evaluation of graphene's exchange and
random-phase-approximation (RPA) correlation energies. The suppression is a
consequence of the quasiparticle chirality switch which enhances quasiparticle
velocities near the Dirac point.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:03:50 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jun 2007 16:51:12 GMT""}]","2007-06-13"
"cond-mat/0701258","C.M. Roland","CM Roland, R Casalini","Invariance of the Local Segmental Relaxation Dispersion in
  Polycyclohexylmethacrylate / Poly-alpha-Methylstyrene Blends","13 pages 5 figures",,"10.1016/j.jnoncrysol.2007.05.182",,"cond-mat.soft",,"  Dielectric spectroscopy was carried out on polycyclohexylmethacrylate (PCHMA)
and its blend with poly-alpha-methylstyrene (PaMS) as a function of temperature
and pressure. When measured at conditions whereby the local segmental
relaxation time for the PCHMA was constant, the dispersion in the loss spectra
had a fixed shape; that is, the relaxation time determines the breadth of the
relaxation time distribution, independently of T and P. This result is known
for neat materials and could be observed for the blend herein due to the
nonpolar character of the PaMS and the degree of thermodynamic miscibility of
the blend.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 21:01:30 GMT""}]","2009-11-13"
